edist	mapq	min_size	count
100	0	0	967777
10	0	0	962429
5	0	0	951625
3	0	0	938457
1	0	0	896622
0	0	0	791148
100	1	0	955868
10	1	0	950914
5	1	0	940875
3	1	0	928457
1	1	0	887909
0	1	0	783948
100	10	0	954037
10	10	0	949457
5	10	0	939896
3	10	0	927705
1	10	0	887368
0	10	0	783572
100	20	0	952569
10	20	0	948410
5	20	0	939091
3	20	0	927087
1	20	0	886935
0	20	0	783255
100	30	0	950716
10	30	0	946997
5	30	0	938023
3	30	0	926195
1	30	0	886246
0	30	0	782747
100	40	0	948595
10	40	0	945293
5	40	0	936707
3	40	0	925122
1	40	0	885365
0	40	0	782068
100	0	1000	1483
10	0	1000	1462
5	0	1000	1415
3	0	1000	1356
1	0	1000	1226
0	0	1000	1025
100	1	1000	129
10	1	1000	120
5	1	1000	119
3	1	1000	114
1	1	1000	104
0	1	1000	86
100	10	1000	126
10	10	1000	119
5	10	1000	118
3	10	1000	113
1	10	1000	104
0	10	1000	86
100	20	1000	124
10	20	1000	118
5	20	1000	117
3	20	1000	113
1	20	1000	104
0	20	1000	86
100	30	1000	123
10	30	1000	117
5	30	1000	116
3	30	1000	112
1	30	1000	104
0	30	1000	86
100	40	1000	123
10	40	1000	117
5	40	1000	116
3	40	1000	112
1	40	1000	104
0	40	1000	86
100	0	2000	1365
10	0	2000	1351
5	0	2000	1307
3	0	2000	1251
1	0	2000	1135
0	0	2000	955
100	1	2000	40
10	1	2000	37
5	1	2000	37
3	1	2000	33
1	1	2000	27
0	1	2000	22
100	10	2000	38
10	10	2000	36
5	10	2000	36
3	10	2000	32
1	10	2000	27
0	10	2000	22
100	20	2000	37
10	20	2000	35
5	20	2000	35
3	20	2000	32
1	20	2000	27
0	20	2000	22
100	30	2000	36
10	30	2000	34
5	30	2000	34
3	30	2000	31
1	30	2000	27
0	30	2000	22
100	40	2000	36
10	40	2000	34
5	40	2000	34
3	40	2000	31
1	40	2000	27
0	40	2000	22
100	0	5000	1228
10	0	5000	1219
5	0	5000	1181
3	0	5000	1138
1	0	5000	1053
0	0	5000	894
100	1	5000	21
10	1	5000	19
5	1	5000	19
3	1	5000	16
1	1	5000	10
0	1	5000	9
100	10	5000	20
10	10	5000	18
5	10	5000	18
3	10	5000	15
1	10	5000	10
0	10	5000	9
100	20	5000	19
10	20	5000	17
5	20	5000	17
3	20	5000	15
1	20	5000	10
0	20	5000	9
100	30	5000	18
10	30	5000	16
5	30	5000	16
3	30	5000	14
1	30	5000	10
0	30	5000	9
100	40	5000	18
10	40	5000	16
5	40	5000	16
3	40	5000	14
1	40	5000	10
0	40	5000	9
100	0	10000	933
10	0	10000	930
5	0	10000	920
3	0	10000	903
1	0	10000	863
0	0	10000	756
100	1	10000	14
10	1	10000	12
5	1	10000	12
3	1	10000	11
1	1	10000	6
0	1	10000	5
100	10	10000	13
10	10	10000	11
5	10	10000	11
3	10	10000	10
1	10	10000	6
0	10	10000	5
100	20	10000	12
10	20	10000	10
5	20	10000	10
3	20	10000	10
1	20	10000	6
0	20	10000	5
100	30	10000	11
10	30	10000	9
5	30	10000	9
3	30	10000	9
1	30	10000	6
0	30	10000	5
100	40	10000	11
10	40	10000	9
5	40	10000	9
3	40	10000	9
1	40	10000	6
0	40	10000	5
100	0	20000	899
10	0	20000	898
5	0	20000	893
3	0	20000	880
1	0	20000	844
0	0	20000	747
100	1	20000	9
10	1	20000	9
5	1	20000	9
3	1	20000	8
1	1	20000	5
0	1	20000	5
100	10	20000	8
10	10	20000	8
5	10	20000	8
3	10	20000	7
1	10	20000	5
0	10	20000	5
100	20	20000	7
10	20	20000	7
5	20	20000	7
3	20	20000	7
1	20	20000	5
0	20	20000	5
100	30	20000	6
10	30	20000	6
5	30	20000	6
3	30	20000	6
1	30	20000	5
0	30	20000	5
100	40	20000	6
10	40	20000	6
5	40	20000	6
3	40	20000	6
1	40	20000	5
0	40	20000	5
100	0	50000	3
10	0	50000	3
5	0	50000	3
3	0	50000	3
1	0	50000	2
0	0	50000	2
100	1	50000	3
10	1	50000	3
5	1	50000	3
3	1	50000	3
1	1	50000	2
0	1	50000	2
100	10	50000	3
10	10	50000	3
5	10	50000	3
3	10	50000	3
1	10	50000	2
0	10	50000	2
100	20	50000	3
10	20	50000	3
5	20	50000	3
3	20	50000	3
1	20	50000	2
0	20	50000	2
100	30	50000	3
10	30	50000	3
5	30	50000	3
3	30	50000	3
1	30	50000	2
0	30	50000	2
100	40	50000	3
10	40	50000	3
5	40	50000	3
3	40	50000	3
1	40	50000	2
0	40	50000	2
